sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
sample_142,SRX9003020_SRR12512304,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003020_SRR12512304_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003020_SRR12512304_2.fastq.gz,
sample_143,SRX9003021_SRR12512303,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003021_SRR12512303_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003021_SRR12512303_2.fastq.gz,
sample_144,SRX9003022_SRR12512302,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003022_SRR12512302_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003022_SRR12512302_2.fastq.gz,
sample_145,SRX9003023_SRR12512301,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003023_SRR12512301_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003023_SRR12512301_2.fastq.gz,
sample_146,SRX9003024_SRR12512300,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003024_SRR12512300_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003024_SRR12512300_2.fastq.gz,
sample_147,SRX9003025_SRR12512299,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003025_SRR12512299_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003025_SRR12512299_2.fastq.gz,
sample_148,SRX9003026_SRR12512298,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003026_SRR12512298_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003026_SRR12512298_2.fastq.gz,
sample_149,SRX9003027_SRR12512297,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003027_SRR12512297_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003027_SRR12512297_2.fastq.gz,
sample_150,SRX9003028_SRR12512296,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003028_SRR12512296_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003028_SRR12512296_2.fastq.gz,
sample_151,SRX9003029_SRR12512295,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003029_SRR12512295_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX9003029_SRR12512295_2.fastq.gz,
