sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
sample52,SRX5286978_SRR8482138,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286978_SRR8482138_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286978_SRR8482138_2.fastq.gz,
sample53,SRX5286979_SRR8482137,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286979_SRR8482137_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286979_SRR8482137_2.fastq.gz,
sample54,SRX5286980_SRR8482136,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286980_SRR8482136_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286980_SRR8482136_2.fastq.gz,
sample55,SRX5286981_SRR8482135,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286981_SRR8482135_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286981_SRR8482135_2.fastq.gz,
sample56,SRX5286982_SRR8482134,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286982_SRR8482134_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286982_SRR8482134_2.fastq.gz,
sample57,SRX5286983_SRR8482133,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286983_SRR8482133_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286983_SRR8482133_2.fastq.gz,
sample58,SRX5286984_SRR8482132,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286984_SRR8482132_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286984_SRR8482132_2.fastq.gz,
sample59,SRX5286985_SRR8482131,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286985_SRR8482131_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286985_SRR8482131_2.fastq.gz,
sample60,SRX5286986_SRR8482130,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286986_SRR8482130_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286986_SRR8482130_2.fastq.gz,
sample61,SRX5286987_SRR8482129,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286987_SRR8482129_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286987_SRR8482129_2.fastq.gz,
sample62,SRX5286988_SRR8482128,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286988_SRR8482128_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286988_SRR8482128_2.fastq.gz,
sample63,SRX5286989_SRR8482127,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286989_SRR8482127_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286989_SRR8482127_2.fastq.gz,
sample64,SRX5286990_SRR8482126,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286990_SRR8482126_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286990_SRR8482126_2.fastq.gz,
sample65,SRX5286991_SRR8482125,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286991_SRR8482125_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286991_SRR8482125_2.fastq.gz,
sample66,SRX5286992_SRR8482124,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286992_SRR8482124_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286992_SRR8482124_2.fastq.gz,
sample67,SRX5286993_SRR8482123,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286993_SRR8482123_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286993_SRR8482123_2.fastq.gz,
