taxonomy_id	name	rank	lineage	CF_03_pe_SRX5286929_SRR8482188_k2_db.bracken	CF_07_pe_SRX5286933_SRR8482184_k2_db.bracken	CF_01_pe_SRX5286927_SRR8482190_k2_db.bracken	CF_05_pe_SRX5286931_SRR8482186_k2_db.bracken	CF_06_pe_SRX5286932_SRR8482185_k2_db.bracken	CF_02_pe_SRX5286928_SRR8482189_k2_db.bracken	CF_04_pe_SRX5286930_SRR8482187_k2_db.bracken	CF_08_pe_SRX5286934_SRR8482183_k2_db.bracken	CF_10_pe_SRX5286936_SRR8482181_k2_db.bracken	CF_09_pe_SRX5286935_SRR8482182_k2_db.bracken	CF_15_pe_SRX5286941_SRR8482176_k2_db.bracken	CF_16_pe_SRX5286942_SRR8482175_k2_db.bracken	CF_12_pe_SRX5286938_SRR8482179_k2_db.bracken	CF_14_pe_SRX5286940_SRR8482177_k2_db.bracken	CF_13_pe_SRX5286939_SRR8482178_k2_db.bracken	CF_11_pe_SRX5286937_SRR8482180_k2_db.bracken	CF_22_pe_SRX5286948_SRR8482169_k2_db.bracken	CF_20_pe_SRX5286946_SRR8482171_k2_db.bracken	CF_19_pe_SRX5286945_SRR8482172_k2_db.bracken	CF_18_pe_SRX5286944_SRR8482152_k2_db.bracken	CF_23_pe_SRX5286949_SRR8482168_k2_db.bracken	CF_17_pe_SRX5286943_SRR8482174_k2_db.bracken	CF_28_pe_SRX5286954_SRR8482163_k2_db.bracken	CF_26_pe_SRX5286952_SRR8482165_k2_db.bracken	CF_25_pe_SRX5286951_SRR8482166_k2_db.bracken	CF_24_pe_SRX5286950_SRR8482167_k2_db.bracken	CF_21_pe_SRX5286947_SRR8482170_k2_db.bracken	CF_27_pe_SRX5286953_SRR8482164_k2_db.bracken	CF_33_pe_SRX5286959_SRR8482158_k2_db.bracken	CF_30_pe_SRX5286956_SRR8482161_k2_db.bracken	CF_34_pe_SRX5286960_SRR8482157_k2_db.bracken	CF_29_pe_SRX5286955_SRR8482162_k2_db.bracken	CF_31_pe_SRX5286957_SRR8482160_k2_db.bracken	CF_32_pe_SRX5286958_SRR8482159_k2_db.bracken	CF_39_pe_SRX5286965_SRR8482151_k2_db.bracken	CF_38_pe_SRX5286964_SRR8482153_k2_db.bracken	CF_35_pe_SRX5286961_SRR8482156_k2_db.bracken	CF_36_pe_SRX5286962_SRR8482155_k2_db.bracken	CF_40_pe_SRX5286966_SRR8482150_k2_db.bracken	CF_41_pe_SRX5286967_SRR8482149_k2_db.bracken	CF_37_pe_SRX5286963_SRR8482154_k2_db.bracken	CF_47_pe_SRX5286973_SRR8482143_k2_db.bracken	CF_42_pe_SRX5286968_SRR8482148_k2_db.bracken	CF_44_pe_SRX5286970_SRR8482146_k2_db.bracken	CF_43_pe_SRX5286969_SRR8482147_k2_db.bracken	CF_45_pe_SRX5286971_SRR8482145_k2_db.bracken	CF_46_pe_SRX5286972_SRR8482144_k2_db.bracken	CF_53_pe_SRX5286979_SRR8482137_k2_db.bracken	CF_48_pe_SRX5286974_SRR8482142_k2_db.bracken	CF_55_pe_SRX5286981_SRR8482135_k2_db.bracken	CF_54_pe_SRX5286980_SRR8482136_k2_db.bracken	CF_49_pe_SRX5286975_SRR8482141_k2_db.bracken	CF_51_pe_SRX5286977_SRR8482139_k2_db.bracken	CF_50_pe_SRX5286976_SRR8482140_k2_db.bracken	CF_52_pe_SRX5286978_SRR8482138_k2_db.bracken	CF_61_pe_SRX5286987_SRR8482129_k2_db.bracken	CF_60_pe_SRX5286986_SRR8482130_k2_db.bracken	CF_62_pe_SRX5286988_SRR8482128_k2_db.bracken	CF_57_pe_SRX5286983_SRR8482133_k2_db.bracken	CF_58_pe_SRX5286984_SRR8482132_k2_db.bracken	CF_67_pe_SRX5286993_SRR8482123_k2_db.bracken	CF_66_pe_SRX5286992_SRR8482124_k2_db.bracken	CF_70_pe_SRX5286996_SRR8482120_k2_db.bracken	CF_69_pe_SRX5286995_SRR8482121_k2_db.bracken	CF_59_pe_SRX5286985_SRR8482131_k2_db.bracken	CF_63_pe_SRX5286989_SRR8482127_k2_db.bracken	CF_72_pe_SRX5286998_SRR8482118_k2_db.bracken	CF_71_pe_SRX5286997_SRR8482119_k2_db.bracken	CF_68_pe_SRX5286994_SRR8482122_k2_db.bracken	CF_56_pe_SRX5286982_SRR8482134_k2_db.bracken	CF_73_pe_SRX5286999_SRR8482117_k2_db.bracken	CF_75_pe_SRX5287001_SRR8482115_k2_db.bracken	CF_74_pe_SRX5287000_SRR8482116_k2_db.bracken	CF_65_pe_SRX5286991_SRR8482125_k2_db.bracken	CF_76_pe_SRX5287002_SRR8482114_k2_db.bracken	CF_79_pe_SRX5287005_SRR8482173_k2_db.bracken	CF_64_pe_SRX5286990_SRR8482126_k2_db.bracken	CF_77_pe_SRX5287003_SRR8482113_k2_db.bracken	CF_78_pe_SRX5287004_SRR8482112_k2_db.bracken
1675686	Sulfurifustis variabilis	species	Sulfurifustis variabilis;Sulfurifustis;Acidiferrobacteraceae;Acidiferrobacterales;Gammaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
446	Legionella pneumophila	species	Legionella pneumophila;Legionella;Legionellaceae;Legionellales;Gammaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0
1248727	endosymbiont of unidentified scaly snail isolate Monju	species	endosymbiont of unidentified scaly snail isolate Monju;unclassified Gammaproteobacteria;Gammaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	12	0	0	0
190721	Ralstonia insidiosa	species	Ralstonia insidiosa;Ralstonia;Burkholderiaceae;Burkholderiales;Betaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	0	0	227690	900	2706	649928	0	99	613	855	79	19817	919	0	427	1202	0	76129	38016	367	13831	10599	0	8614	497	0	64	3258	89	1873	259	103	59	784	20117	0	1578	0	0	219	0	1296	1902	0	2973	4602	8276	0	921	0	0	251	0	0	0	0	0	3922	0	6621	329	5276	192821	0	0	0	66249	64843	0	0	11951	13689	1302	2340	689932	0	0	1605	0
329	Ralstonia pickettii	species	Ralstonia pickettii;Ralstonia;Burkholderiaceae;Burkholderiales;Betaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	0	0	6514	23	95	18201	0	0	17	22	0	531	22	25	20	26	54	2050	980	15	354	300	0	220	19	0	0	96	0	35	17	0	0	15	399	0	44	0	0	0	0	32	64	0	88	132	189	0	19	0	0	0	0	0	0	0	0	125	0	198	0	194	5334	0	0	0	2230	1906	15	0	326	428	59	68	21971	0	0	163	0
105219	Ralstonia mannitolilytica	species	Ralstonia mannitolilytica;Ralstonia;Burkholderiaceae;Burkholderiales;Betaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	0	0	5682	23	57	15434	52	0	16	14	87	487	34	0	0	40	0	1627	783	81	342	250	0	142	18	0	21	107	0	49	0	0	0	29	429	0	51	0	109	0	0	30	52	0	70	137	203	0	0	0	0	0	0	0	0	0	0	105	0	184	14	118	4352	0	0	0	1726	1435	0	0	284	335	40	63	17733	0	0	96	0
305	Ralstonia solanacearum	species	Ralstonia solanacearum;Ralstonia;Burkholderiaceae;Burkholderiales;Betaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	0	0	2588	0	43	7702	0	0	0	0	125	208	0	0	0	0	0	627	358	42	165	175	0	82	0	0	43	35	0	33	0	0	0	0	233	0	21	0	74	0	0	17	0	0	32	93	93	0	0	0	0	0	0	0	0	0	0	41	0	54	0	38	1800	0	0	0	807	590	0	0	116	197	0	0	8994	62	21	177	0
28097	Ralstonia syzygii	species	Ralstonia syzygii;Ralstonia;Burkholderiaceae;Burkholderiales;Betaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	0	0	1411	0	0	4415	0	0	0	0	0	114	0	0	0	0	0	298	142	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935	0	0	0	476	308	0	0	60	0	0	0	4930	0	0	80	0
1310165	Ralstonia pseudosolanacearum	species	Ralstonia pseudosolanacearum;Ralstonia;Burkholderiaceae;Burkholderiales;Betaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	0	0	308	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0
2842456	Ralstonia wenshanensis	species	Ralstonia wenshanensis;Ralstonia;Burkholderiaceae;Burkholderiales;Betaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	0	0	16	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	30	0
