sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
53,SRR12512393,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002931_SRR12512393_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002931_SRR12512393_2.fastq.gz,
54,SRR12512392,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002932_SRR12512392_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002932_SRR12512392_2.fastq.gz,
55,SRR12512391,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002933_SRR12512391_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002933_SRR12512391_2.fastq.gz,
56,SRR12512390,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002934_SRR12512390_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002934_SRR12512390_2.fastq.gz,
57,SRR12512389,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002935_SRR12512389_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002935_SRR12512389_2.fastq.gz,
58,SRR12512388,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002936_SRR12512388_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002936_SRR12512388_2.fastq.gz,
59,SRR12512387,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002937_SRR12512387_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002937_SRR12512387_2.fastq.gz,
60,SRR12512386,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002938_SRR12512386_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002938_SRR12512386_2.fastq.gz,
61,SRR12512385,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002939_SRR12512385_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002939_SRR12512385_2.fastq.gz,
62,SRR12512384,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002940_SRR12512384_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002940_SRR12512384_2.fastq.gz,
63,SRR12512383,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002941_SRR12512383_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002941_SRR12512383_2.fastq.gz,
64,SRR12512382,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002942_SRR12512382_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002942_SRR12512382_2.fastq.gz,
65,SRR12512381,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002943_SRR12512381_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002943_SRR12512381_2.fastq.gz,
