sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
194,SRR8482152,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286944_SRR8482152_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286944_SRR8482152_2.fastq.gz,
195,SRR8482172,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286945_SRR8482172_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286945_SRR8482172_2.fastq.gz,
196,SRR8482171,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286946_SRR8482171_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286946_SRR8482171_2.fastq.gz,
197,SRR8482170,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286947_SRR8482170_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286947_SRR8482170_2.fastq.gz,
198,SRR8482169,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286948_SRR8482169_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286948_SRR8482169_2.fastq.gz,
199,SRR8482168,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286949_SRR8482168_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286949_SRR8482168_2.fastq.gz,
200,SRR8482167,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286950_SRR8482167_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286950_SRR8482167_2.fastq.gz,
201,SRR8482166,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286951_SRR8482166_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286951_SRR8482166_2.fastq.gz,
202,SRR8482165,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286952_SRR8482165_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286952_SRR8482165_2.fastq.gz,
203,SRR8482164,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286953_SRR8482164_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286953_SRR8482164_2.fastq.gz,
204,SRR8482163,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286954_SRR8482163_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286954_SRR8482163_2.fastq.gz,
205,SRR8482162,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286955_SRR8482162_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/cf_data/fastq/SRX5286955_SRR8482162_2.fastq.gz,
